,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
40,208.1501045,10.74721342,2.046897989,11.30846331,1.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,100.94176893974145,30578.419585592725,0.9253363776555888,0.7551310665406435,113.26585601766284,36384.5106039002,0.9104753477231106,0.7087379324119527,112.45310808045515,36745.80173369902,0.8981801485364707,0.641183640355123
41,471.0771789,20.0,11.76608744,1.0,0.787732545,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,27.082658576189154,3376.17330372071,0.9929397755618211,0.9729639409995683,55.776336011287285,12257.159244856673,0.9742318578274803,0.90188007244956,60.01830352487391,13605.161257615047,0.9641702836896802,0.8671479678081981
42,253.3157058,11.19035087,11.27539604,1.0,0.001,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,55.915436878933136,10842.411512137965,0.9754656262285126,0.9131750502777591,70.14902548880049,15847.726422545391,0.9635226038836577,0.8731371815152158,74.16952589236826,17434.14455085278,0.9511434209121128,0.8297586122465088
43,123.8235047,10.76890371,3.937868981,10.52693799,0.370544484,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,86.09486552995166,25067.471455004958,0.9410205221128947,0.7992621893839794,98.25642183835862,31094.01291457735,0.9260321111739677,0.7510889567898038,102.35705333904205,34158.66900573147,0.908594831370622,0.6664465412463587
44,418.0,9.543071552,9.742262267,6.0,0.735175803,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,42.906591070915276,7929.34199591872,0.9830592616997343,0.9365026203483084,59.920280412105654,13685.11824025516,0.9712518754459724,0.8904491013432417,63.62134517913914,14566.44959261984,0.9615853124859939,0.8577611544945244
45,419.5180797,20.0,12.64865863,8.082774559,1.0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,35.19421462001552,5882.014509412136,0.9875833595833133,0.9528974146135784,56.17487475792641,12607.482863505742,0.9735491692619009,0.8990756927891197,60.500179647207915,13879.023607967918,0.9635369070158151,0.864473749612891
46,176.2966318,13.32171884,10.23914742,4.127712904,0.560334195,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,37.2237203577708,6140.40968026735,0.9869545148846555,0.950828211863539,56.25623514129255,12461.346974952963,0.9735764160681702,0.9002455268845145,61.89701538420747,14088.874542536136,0.9627712284714101,0.8624245917538372
47,442.7292134,4.291569642,20.0,8.255620769,0.417813958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.62282617081145,27744.16557461344,0.9338701460585069,0.7778274899080695,91.96130471105636,26294.842116391836,0.9388773588046644,0.7895068545761726,94.48414132438589,28685.86917213533,0.9155927129391586,0.719887479277523
48,144.3084275,10.86733521,2.0,10.00114712,0.583183077,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,42.07106130680211,7914.15000877742,0.9830631185357698,0.9366242762657442,56.918454958104405,12909.472597432205,0.9726428641740626,0.8966582312695367,61.74361608040858,14100.09141978614,0.9626460763384009,0.8623150608993848
49,500.0,20.0,20.0,12.7071247,0.720215501,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,43.0401285697002,8264.167025769559,0.9823575035148133,0.9338213749122722,58.570134472571574,13616.34866923457,0.9713631192451414,0.8909996094333643,65.66108821880803,15925.685011440253,0.9581313520396082,0.8444884571557629
