,layers,neurons,batch_size,learning_rate_init,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
250,2.202789895,49.06950682,848.3699249,0.082661771,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,57.11362159697901,12078.405088095942,0.9739752075293839,0.9032773370273973,59.16362383582927,12886.752076372522,0.9732835001973837,0.8968401115760376,67.30231817668336,15139.692098374586,0.9600267926459009,0.8521635411780624
251,4.531216154,34.5572728,761.9482441,0.01270913,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,57.07457909120635,12286.875053777396,0.9732491530238023,0.9016079303397222,62.91067110009803,14390.691544600622,0.9693158797509286,0.8848009083059397,68.66358806575745,16086.028407301368,0.9573364796940798,0.8429227317971781
252,7.0,50.0,1024.0,0.022661729,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,68.92240001668114,17617.569575458518,0.9595364029820048,0.8589202604139453,66.67121496954601,16427.273891578217,0.9634365226020761,0.8684978393530094,75.3686320177958,19259.734981510606,0.9471105393537302,0.8119320393694656
253,3.800595758,42.68543728,800.0,0.057280131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,174.57971174154724,74864.15913935393,0.7499958058896782,0.4004952822538167,175.06411052237303,76047.84643292494,0.7405792955576511,0.39122850300760414,162.74723307782764,61822.113585665626,0.7682330336479105,0.3963178187505122
254,4.494243178,17.31246654,867.0,0.066943583,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,94.90146559949555,28793.605007301743,0.9305457634283519,0.7694236836258882,96.13897315280722,28373.032094874914,0.9316595522667348,0.7728707118899809,104.27459582289221,33843.04073174303,0.9076552934802237,0.6695285964181108
255,3.356407674,50.0,1024.0,0.025882261,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,54.42727650527689,11397.792181092927,0.9758172059440519,0.9087276172869769,59.958405893964844,12803.276136701936,0.973543259098153,0.8975083457883098,62.762257415411526,13339.834639277788,0.9651069304731806,0.8697388360657099
256,5.209949178,10.0,909.9816602,0.044494272,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.79870010536769,31269.114805027286,0.9225289633142277,0.7496000481289495,93.09956627282713,28158.419181596048,0.9322011498267051,0.7745887122097652,103.83213408437761,33280.5051676457,0.907148412663884,0.6750216583124462
257,7.0,50.0,1024.0,0.0001,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,57.10581008858663,12354.353232495752,0.9732672755403945,0.9010675718163428,63.876383085332364,14131.298757882863,0.9703706109414592,0.8868773765096578,66.35911623857838,15066.265831827592,0.9599893302175679,0.852880535893694
258,5.953698638,10.0,1024.0,0.074053786,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,56.29610724713388,11527.142474771046,0.9750270739674418,0.9076917930395219,60.75652438143807,12992.548184046074,0.9730214410518938,0.8959932019281595,66.24341411919964,14477.956659926422,0.9617364970977416,0.8586252725832646
259,5.800420358,35.94058594,754.7537325,0.0054353,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,52.03692875555184,10810.362243251142,0.9767047504726148,0.9134316976256871,59.606677852804104,13269.54783850576,0.9718821179007675,0.8937757887833897,63.832865875079754,14091.73020684174,0.9630099131550341,0.8623967066888186
260,2.56987222,32.090022,329.9604612,0.050926276,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.23292564598613,26935.109368004123,0.9364821165321765,0.7843063312970613,84.65839059422834,24767.914348480776,0.9419122503460339,0.8017300817505325,93.3242513589516,30256.941911645834,0.9162447555340392,0.7045462273648866
261,7.0,10.0,1024.0,0.045841492,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66.18832903792585,15314.435479910204,0.9660090225910476,0.8773635284844938,70.26807300313118,16461.0988621413,0.9641664805076644,0.868227066689071,75.85381078520183,19240.626208497168,0.9482134662300057,0.8121186332127475
262,3.199294089,26.02056472,1.0,0.00147049,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,52.638639549565504,10836.406085936296,0.9768764618924013,0.9132231411316654,61.472715165252275,13358.196772204692,0.9720554645485427,0.8930661441766581,65.17502105170605,14152.903902267135,0.9632242868156832,0.8617993561980704
263,4.997014437,34.0990648,482.7649422,0.071106391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.43531628663987,28235.655855564215,0.933269751576754,0.7738916847705547,93.58495151948505,26291.49497496812,0.9376803421999277,0.7895336488167822,95.77603874222908,29292.34838026304,0.9154228801427533,0.7139653153460411
