,layers,neurons,batch_size,learning_rate_init,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
54,4.168234691,32.32778679,897.7824158,0.078218302,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,187.18731038324637,112220.19574002484,0.9845383322731168,0.9405716528528659,199.39639750627205,130174.50097228716,0.9826857863647409,0.9310846521790499,231.21332857393193,155020.33812530842,0.9739489484099532,0.8987421647125835
55,6.33139552,10.0,236.8151356,0.035239181,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,198.35257549721163,127022.45089735386,0.9823013342501646,0.9327328360316218,219.7860071714265,145969.81113753517,0.9798780485654994,0.9227224976415065,252.28789292659826,187693.18347320263,0.9676777957554363,0.8774005676510803
56,5.092058911,27.53937086,534.0811638,0.093409487,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,206.39046928218553,130368.70251144996,0.9809621622695763,0.930960764603188,233.78009375970697,155062.3222934197,0.9798831622301567,0.917908854691517,242.99619304499626,169050.50872451998,0.9698259051650285,0.8895777884715709
57,1.540071709,50.0,896.6150203,0.050361826,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,226.56935804258072,151683.04116081097,0.978408738393398,0.9196733496409092,247.00802155667537,165977.07817229696,0.976957062641091,0.912130501848561,271.3597372599551,202209.66029183465,0.9643880891332056,0.8679185407349317
58,1.0,22.28517423,254.0553686,0.042864705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343.75769058161757,322374.09132135374,0.9514093687206666,0.8292806452176389,336.21704541588394,295764.04260702524,0.9565850645687627,0.8434203187494245,322.739512039733,292920.8126185868,0.9466506746551634,0.8086668642638787
59,1.0,43.75315253,261.3106489,0.04323815,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,203.86121598028853,133535.8144732016,0.981445738124398,0.9292835599977634,221.5817573336948,141236.99195912582,0.9804358189429182,0.9252280872724833,241.4774028281923,169903.73709799745,0.9711711022903379,0.8890204676764485
60,1.0,15.53289752,1.0,0.018103692,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,197.62566921976855,129281.75938289778,0.9820880392663487,0.9315363760886859,200.12932261502635,123968.94771333746,0.9833270939220041,0.9343699181725258,239.21071726857247,170289.85608227787,0.971172559811149,0.8887682583664676
61,2.0,21.0,741.8365483,0.058459625,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,198.1285026534692,123120.12025139337,0.9830668526865256,0.9347993897279663,241.5137913345402,161676.94590782755,0.9779384266158011,0.9144070238130668,240.80521599484442,172758.13228479086,0.970810159182972,0.8871560034315319
62,4.505405487,22.85167693,702.0,0.02647579,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,183.6585003209018,111327.07848996895,0.9846633242758882,0.9410446201439084,209.30919849553464,139632.49047890326,0.9814617847092436,0.9260775222752132,239.46418198961695,172281.71456602932,0.9705397979425973,0.8874671950305038
63,6.464870018,10.0,1024.0,0.072417928,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,556.7596438889407,696212.5637323336,0.8820394475562103,0.6313073448781691,549.8862737227917,660723.9377966983,0.8829406983459589,0.6502078391175778,623.3412796555839,832950.6619065794,0.8427010395846697,0.4559244164613825
64,2.552624678,28.79678339,450.7948947,0.088827598,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,170.8878014968292,95538.74346961697,0.9870338327810539,0.9494056343827214,202.6455527697619,127423.07824379446,0.9828816538427653,0.932541275810562,222.31516733144196,147612.97028064687,0.9752111330572713,0.9035805881233346
65,3.049356698,15.29722856,452.1325146,0.0637994,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,183.23735214741245,111975.4006708754,0.9846788456828403,0.9407012887553288,209.18255673757844,138308.8116728,0.9816223915087011,0.9267782876681626,227.3265070739853,156731.55998851903,0.9737704194167458,0.8976244105929586
66,3.778672447,16.33877296,225.1213221,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,649.3503797210785,843412.4985553205,0.8458777825811916,0.5533548090711411,615.9008677306598,769721.776625446,0.8585428739605974,0.592503573547056,588.3757130534648,723087.2329915909,0.8529194376335971,0.5276861809092986
67,1.0,38.16395502,572.4543568,0.053299533,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,229.97371374918532,165490.58704122412,0.9768252443619585,0.9123613001081128,240.51468186770018,171401.81463423144,0.9756655434063833,0.9092586060677522,264.44587798279986,201045.319027748,0.9659464382709785,0.8686790775610218
68,2.0,26.32753624,211.0,0.070466006,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,178.6794714101516,106954.06939265842,0.9854939106324373,0.9433604306002954,200.93844440171148,130819.7000228098,0.9821498967459701,0.9307430790088176,219.91950475483338,161658.9517487439,0.9727900969602632,0.8944058843706115
69,6.040394681,31.89643176,659.0869045,0.058593009,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,251.03195975557546,192299.02573880446,0.9727997538093174,0.8981643795726745,253.2766444073451,186004.52495526295,0.973456363079542,0.9015278227470103,275.42689308956955,227807.5651098107,0.9593028793663032,0.8511982286706761
70,4.920970895,13.64669759,937.4090809,0.050646087,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,214.24414640159634,157224.82263634246,0.9779638510217652,0.916738593457589,197.9294611276392,138015.34010631748,0.9810224525176562,0.926933653695523,234.6809608174373,172106.6640200169,0.9704840074400961,0.887581536410283
71,7.0,40.61467912,507.789768,0.01636726,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,255.70999627091544,198235.05211030107,0.9720365340364825,0.895020843477825,265.8411740893048,219737.85037185642,0.9700324602619609,0.8836691496821775,267.0621422235471,214767.55858546394,0.9631718106626853,0.8597158389968889
72,1.900995026,10.89507073,920.3484043,0.078862631,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,192.33055112272032,126753.3836945992,0.9823058738856688,0.9328753257058358,206.01328500631408,132762.27968276798,0.9817209208913485,0.9297146629063089,230.47829421043096,164817.60396933425,0.971797524189776,0.8923426822762887
73,3.41651386,50.0,938.8839569,0.048132152,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,164.39490522400072,98899.07764737647,0.986519706363566,0.9476261052638371,194.52832831280404,127228.4664939718,0.9829836318108839,0.932644304716599,210.88673447731938,141037.03971916958,0.9765611218381981,0.9078759244753771
74,2.098029065,44.61105044,142.3003789,0.1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,181.19119085296046,110550.9507416077,0.9844854228453656,0.9414556334107805,194.79270259575216,123318.50946308365,0.9833252700544516,0.9347142650140153,221.81322046347842,153458.09296634322,0.9734475788991404,0.899762608642058
75,2.719154669,25.69797801,318.315327,0.1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,167.4201842274868,95008.96717430145,0.9872718192787217,0.9496861875343241,204.3436376342839,130451.07945922304,0.9826741892621945,0.9309382294734923,216.9670833322915,149656.8095753872,0.9751984043788958,0.902245571407699
76,1.0,10.0,571.3196679,0.091378512,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,270.84584466010034,235956.19331052914,0.9655947144645588,0.8750448929882494,252.41154599944682,217400.53058901933,0.9685770524260843,0.8849065441380801,258.41675484261106,213563.99442436922,0.9626243469580291,0.8605019958525362
