,learning_rate,num_leaves,max_depth,bagging_fraction,feature_fraction,num_boost_round,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
52,0.025043129,59.5643278,63.38051483,0.516483491,0.324238783,688.1821644,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70.44054639144576,15674.86054141049,0.9652922142916858,0.874477280548934,76.97880206325213,18253.686881760434,0.9601043572387127,0.8538771995543496,83.47706471849503,21119.96733720744,0.9431837656479731,0.7937671941225972
53,0.01,51.03487195,56.96902749,0.42527897,1.0,630.0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,44.02119121654524,7249.665879777354,0.984591180829752,0.9419453988801247,61.638492437114905,14503.812562281346,0.9696476260259661,0.8838953619360561,67.35283526084955,16448.17189107948,0.9567709241437061,0.8393864636961285
54,0.025895389,70.50160387,64.0,0.747063955,0.923504741,221.5399076,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,35.89112113436315,4561.499570491678,0.9904225869963994,0.9634719665064744,56.79199128666844,12600.606084756706,0.9736332926377684,0.899130742170396,61.82009415807119,13788.465316288348,0.9637787825603394,0.8653580355727296
55,0.01,76.021339,5.776470778,0.425931054,0.710371129,557.1040239,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,42.523576817848145,7222.858997820249,0.9845803957188118,0.9421600657165135,55.5872486588939,12228.830400947283,0.9741536427950394,0.9021068480063142,60.88385680664946,13422.60370509574,0.9644949925534486,0.8689306105409755
56,0.158108193,35.03138381,41.34158944,0.449389483,0.647769838,100.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52.42254701965923,9152.171774295284,0.980336230591783,0.9267103214757241,68.94141822309099,16858.41435600976,0.9644302829628495,0.8650465118236035,68.40392362434969,16876.08743757126,0.9549927109198405,0.8352079428479409
57,0.015075786,37.75028376,18.55288637,0.780668216,0.667137006,674.4579666,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,38.22277390970887,5087.403292382829,0.9893154706404572,0.9592605819670829,56.76744944175259,12474.886313805751,0.9738125460995527,0.9001371429661222,62.09986253507746,13891.62736226141,0.963436019870133,0.864350676145445
58,0.044299417,37.82171503,48.58137152,0.771603087,0.867711826,284.6082687,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,34.71298730149172,4168.1476654988355,0.9912971414666327,0.9666218893198557,57.57258586088026,13059.007535030629,0.9727416636594723,0.8954611874072264,63.16349137680528,14400.388459615408,0.9622904681517919,0.8593827125613472
59,0.17173185,36.353786,58.26009694,0.214674934,0.974540586,471.8044792,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41.053245500515104,5657.017778640429,0.9881147495546191,0.9546991659873435,75.36440497841275,20355.267266702995,0.9574610040347397,0.837053814054278,79.480060403486,22658.669500035267,0.9408543574148862,0.7787420352583331
60,0.01,70.34638901,6.166699164,1.0,0.606270643,1000.0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,38.40638096875898,5818.669828112986,0.9877273925637234,0.953404672501993,55.30761307354255,12245.97904832615,0.9741968421691279,0.9019695711704023,60.67911319815696,13580.524838550038,0.9642681913791673,0.8673885381532856
61,0.01,64.95255122,8.850816818,1.0,0.868080884,633.495955,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,38.57204533651664,5525.363235811518,0.9883617876259487,0.9557534424321205,56.84145600561705,12687.380664712182,0.9734737264265791,0.8984361019745428,60.96074757176899,13451.037423502725,0.96457455975914,0.8686529602285971
62,0.019841073,42.59492246,48.31076704,0.992105761,1.0,132.2531216,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,109.20302801026125,31490.59005713824,0.9171663351658228,0.7478264964049879,121.06198968350172,38208.157352780836,0.8990902866526056,0.6941394366836012,116.33134266945775,36944.50633126744,0.885008178471581,0.6392433245372533
63,0.01,89.86881076,40.10658585,0.567480782,0.1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,205.66085866711103,80849.31778059433,0.6326318548034949,0.35256672894963903,206.95544931148575,83513.07501793062,0.6188802187223789,0.33146851512822695,191.2070509427159,66691.58771615995,0.6516394111459958,0.34876825122300603
64,0.01,70.95348617,61.55197826,0.645434987,0.800543501,940.394938,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,29.21383714254991,2839.2950798802563,0.9941194481743845,0.9772632082557252,56.800681475763945,12809.684819462298,0.9733794985988341,0.8974570435676583,61.164959088067604,13821.918047117262,0.9637716574663316,0.8650313754774295
65,0.01,100.0,64.0,0.754136132,0.783407894,285.826557,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,92.9245269593055,25219.24287961674,0.9372300096217983,0.7980468189567973,102.66113309287527,31671.097316395317,0.9201778238562909,0.7464693317555098,106.13429514490616,33321.93619776487,0.9033539144262124,0.6746170915129126
